661.657,0.00040532,5.27E-06
59.5412,0.000516042,1.28E-05
238.6,0.001080828,3.56E-05
583.2,0.000485558,1.93E-05
2614.5,0.000130722,6.22E-06
80.8983,0.000937793,3.87E-05
276.38,0.000920491,6.65E-05
302.853,0.000787563,2.17E-05
356.017,0.000679463,7.17E-06
383.851,0.000606357,1.92E-05
121.7817,0.001305807,3.17E-05
244.6975,0.000861805,5.23E-05
344.2785,0.000690739,1.27E-05
411.1163,0.000562139,7.24E-05
778.904,0.000329326,2.28E-05
867.373,0.000269214,4.51E-05
964.079,0.000283836,1.55E-05
1085.869,0.000320902,1.71E-05
1112.069,0.000256335,1.33E-05
1212.948,0.000120396,8.19E-05
1299.14,0.000308503,4.01E-05
1408.006,0.000215441,6.68E-06
